fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g,fiber_g
319874,"HUMMUS, SABRA CLASSIC",sample_food,16,2019-04-01,,,,,
319875,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319876,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319877,Hummus,sub_sample_food,16,2019-04-01,,,19.0,,
319878,Hummus,sub_sample_food,16,2019-04-01,,,,,
319879,"HUMMUS, SABRA CLASSIC",sample_food,16,2019-04-01,,,,,
319880,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319881,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319882,Hummus,sub_sample_food,16,2019-04-01,,,18.7,,
319883,Hummus,sub_sample_food,16,2019-04-01,,,,,
319884,Hummus,sub_sample_food,16,2019-04-01,,,,,
319885,"HUMMUS, SABRA CLASSIC",sample_food,16,2019-04-01,,,,,
319886,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319887,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319888,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319889,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319890,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319891,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319892,Hummus,sub_sample_food,16,2019-04-01,,,16.6,,
319893,Hummus,sub_sample_food,16,2019-04-01,,,,,
319894,"HUMMUS, OTHER",sample_food,16,2019-04-01,,,,,
319895,"HUMMUS, OTHER",market_acquisition,16,2019-04-01,,,,,
319896,"HUMMUS, OTHER",market_acquisition,16,2019-04-01,,,,,
319897,"HUMMUS, OTHER",market_acquisition,16,2019-04-01,,,,,
319898,"HUMMUS, OTHER",market_acquisition,16,2019-04-01,,,,,
319899,Hummus,sub_sample_food,16,2019-04-01,,,19.1,,
319900,Hummus,sub_sample_food,16,2019-04-01,,,,,
319901,"HUMMUS, SABRA CLASSIC",sample_food,16,2019-04-01,,,,,
319902,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319903,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319904,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319905,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319906,Hummus - NFY12140O,sub_sample_food,16,2019-04-01,,,,,
319907,Hummus - NFY12140P,sub_sample_food,16,2019-04-01,,,,,
319908,Hummus,sub_sample_food,16,2019-04-01,,,18.2,,
319909,Hummus,sub_sample_food,16,2019-04-01,,,,,
319910,Hummus,sub_sample_food,16,2019-04-01,,,,,
319911,Hummus,sub_sample_food,16,2019-04-01,,,,,
319912,Hummus,sub_sample_food,16,2019-04-01,,,,,
319913,Hummus,sub_sample_food,16,2019-04-01,,,,,
319914,Hummus,sub_sample_food,16,2019-04-01,,,,,
319915,Hummus - NFY12140Q,sub_sample_food,16,2019-04-01,,,,,5.7
319916,Hummus - NFY12140R,sub_sample_food,16,2019-04-01,,,,,
319917,Hummus - NFY12140S,sub_sample_food,16,2019-04-01,,,,,
319918,Hummus - NFY12140F,sub_sample_food,16,2019-04-01,,,,,
319919,Hummus - NFY12140G,sub_sample_food,16,2019-04-01,,,,,
319920,"Hummus, Sabra Classic - CA1, IN",sub_sample_food,16,2019-04-01,,,,,
319921,"HUMMUS, SABRA CLASSIC",sample_food,16,2019-04-01,,,,,
319922,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319923,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319924,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319925,"HUMMUS, SABRA CLASSIC",market_acquisition,16,2019-04-01,,,,,
319926,Hummus - NFY12141C,sub_sample_food,16,2019-04-01,,,,,
319927,Hummus - NFY12141D,sub_sample_food,16,2019-04-01,,,,,
319928,Hummus,sub_sample_food,16,2019-04-01,,,18.0,,
319929,Hummus,sub_sample_food,16,2019-04-01,,,,,
319930,Hummus,sub_sample_food,16,2019-04-01,,,,,
319931,Hummus,sub_sample_food,16,2019-04-01,,,,,
319932,Hummus,sub_sample_food,16,2019-04-01,,,,,
319933,Hummus - NFY12141E,sub_sample_food,16,2019-04-01,,,,,
319934,Hummus - NFY12141F,sub_sample_food,16,2019-04-01,,,,,5.4
319935,Hummus - NFY12141G,sub_sample_food,16,2019-04-01,,,,,
319936,Hummus - NFY12141H,sub_sample_food,16,2019-04-01,,,,,
