fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",sr_legacy_food,18,2019-04-01,307.4,5.88,13.24,41.18
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",sr_legacy_food,18,2019-04-01,332.5,4.34,11.27,53.42
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",sr_legacy_food,18,2019-04-01,376.9,6.1,3.7,79.8
167515,"George Weston Bakeries, Thomas English Muffins",sr_legacy_food,18,2019-04-01,232.2,8.0,1.8,46.0
167516,"Waffles, buttermilk, frozen, ready-to-heat",sr_legacy_food,18,2019-04-01,273.5,6.58,9.22,41.05
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",sr_legacy_food,18,2019-04-01,308.6,7.42,9.49,48.39
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",sr_legacy_food,18,2019-04-01,288.9,6.92,9.4,44.16
167519,"Waffle, plain, frozen, ready-to-heat, microwave",sr_legacy_food,18,2019-04-01,297.7,6.71,9.91,45.41
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",sr_legacy_food,18,2019-04-01,501.1,5.1,24.83,64.3
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",sr_legacy_food,18,2019-04-01,484.0,6.08,22.42,64.48
167522,"Pie, Dutch Apple, Commercially Prepared",sr_legacy_food,18,2019-04-01,290.3,2.17,11.5,44.54
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",sr_legacy_food,18,2019-04-01,467.9,5.52,28.74,46.79
167524,"Waffles, chocolate chip, frozen, ready-to-heat",sr_legacy_food,18,2019-04-01,296.8,5.8,10.1,45.68
167525,"Tostada shells, corn",sr_legacy_food,18,2019-04-01,492.7,6.15,23.38,64.43
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",sr_legacy_food,18,2019-04-01,373.9,7.12,17.12,47.84
167527,"Bread, pound cake type, pan de torta salvadoran",sr_legacy_food,18,2019-04-01,390.4,7.06,17.45,51.29
167528,"Pastry, Pastelitos de Guava (guava pastries)",sr_legacy_food,18,2019-04-01,379.5,5.48,18.5,47.76
167529,"Crackers, snack, Goya Crackers",sr_legacy_food,18,2019-04-01,434.6,14.25,13.35,64.35
167530,"Crackers, cream, Gamesa Sabrosas",sr_legacy_food,18,2019-04-01,469.6,7.01,20.37,64.55
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",sr_legacy_food,18,2019-04-01,463.8,7.19,19.5,64.88
167532,"Bread, white wheat",sr_legacy_food,18,2019-04-01,237.6,10.66,2.15,43.91
167533,"Bagels, wheat",sr_legacy_food,18,2019-04-01,250.1,10.2,1.53,48.89
167534,"Cream puff, eclair, custard or cream filled, iced",sr_legacy_food,18,2019-04-01,334.0,4.41,18.52,37.43
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",sr_legacy_food,18,2019-04-01,297.3,8.01,7.58,49.27
167536,"Snacks, beef jerky, chopped and formed",sr_legacy_food,23,2019-04-01,407.2,33.2,25.6,11.0
167537,"Snacks, corn-based, extruded, chips, plain",sr_legacy_food,23,2019-04-01,554.0,6.17,33.36,57.27
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",sr_legacy_food,23,2019-04-01,547.1,7.0,32.7,56.2
167539,"Snacks, corn-based, extruded, cones, plain",sr_legacy_food,23,2019-04-01,516.9,5.8,26.9,62.9
167540,"Snacks, fruit leather, pieces",sr_legacy_food,19,2019-04-01,359.4,1.0,2.68,82.82
167541,"Snacks, fruit leather, rolls",sr_legacy_food,19,2019-04-01,370.6,0.1,3.0,85.8
167542,"Snacks, granola bars, hard, plain",sr_legacy_food,23,2019-04-01,476.2,10.1,19.8,64.4
167543,"Snacks, granola bars, hard, almond",sr_legacy_food,23,2019-04-01,508.3,7.7,25.5,62.0
167544,"Snacks, granola bars, soft, uncoated, raisin",sr_legacy_food,23,2019-04-01,456.2,7.6,17.8,66.4
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",sr_legacy_food,23,2019-04-01,502.5,5.8,24.9,63.8
167546,"Candies, honey-combed, with peanut butter",sr_legacy_food,19,2019-04-01,486.1,8.72,20.18,67.41
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",sr_legacy_food,23,2019-04-01,534.3,10.2,31.1,53.4
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",sr_legacy_food,23,2019-04-01,468.0,9.8,20.0,62.2
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",sr_legacy_food,23,2019-04-01,601.4,7.29,43.55,45.06
167550,"Snacks, popcorn, cakes",sr_legacy_food,23,2019-04-01,387.1,9.7,3.1,80.1
167551,"Snacks, popcorn, caramel-coated, with peanuts",sr_legacy_food,23,2019-04-01,418.6,6.4,7.8,80.7
167552,"Snacks, popcorn, caramel-coated, without peanuts",sr_legacy_food,23,2019-04-01,446.8,3.8,12.8,79.1
167553,"Snacks, potato chips, made from dried potatoes, reduced fat",sr_legacy_food,23,2019-04-01,512.5,4.56,26.14,64.76
167554,"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",sr_legacy_food,23,2019-04-01,564.6,6.6,37.0,51.3
167555,"Snacks, pretzels, hard, plain, salted",sr_legacy_food,23,2019-04-01,388.1,10.04,2.93,80.39
