fdc_id,description,data_type,food_category_id,publication_date,calories,protein_g,fat_g,carbs_g,fiber_g
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",sr_legacy_food,18,2019-04-01,1286.0,5.88,13.24,41.18,1.2
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",sr_legacy_food,18,2019-04-01,1381.0,4.34,11.27,53.42,1.4
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",sr_legacy_food,18,2019-04-01,1577.0,6.1,3.7,79.8,
167515,"George Weston Bakeries, Thomas English Muffins",sr_legacy_food,18,2019-04-01,972.0,8.0,1.8,46.0,
167516,"Waffles, buttermilk, frozen, ready-to-heat",sr_legacy_food,18,2019-04-01,1144.0,6.58,9.22,41.05,2.2
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",sr_legacy_food,18,2019-04-01,309.0,7.42,9.49,48.39,2.6
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",sr_legacy_food,18,2019-04-01,1209.0,6.92,9.4,44.16,2.4
167519,"Waffle, plain, frozen, ready-to-heat, microwave",sr_legacy_food,18,2019-04-01,298.0,6.71,9.91,45.41,2.4
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",sr_legacy_food,18,2019-04-01,501.0,5.1,24.83,64.3,1.9
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",sr_legacy_food,18,2019-04-01,484.0,6.08,22.42,64.48,2.7
167522,"Pie, Dutch Apple, Commercially Prepared",sr_legacy_food,18,2019-04-01,1215.0,2.17,11.5,44.54,1.6
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",sr_legacy_food,18,2019-04-01,468.0,5.52,28.74,46.79,1.4
167524,"Waffles, chocolate chip, frozen, ready-to-heat",sr_legacy_food,18,2019-04-01,297.0,5.8,10.1,45.68,1.5
167525,"Tostada shells, corn",sr_legacy_food,18,2019-04-01,474.0,6.15,23.38,64.43,5.8
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",sr_legacy_food,18,2019-04-01,1564.0,7.12,17.12,47.84,0.7
167527,"Bread, pound cake type, pan de torta salvadoran",sr_legacy_food,18,2019-04-01,1634.0,7.06,17.45,51.29,1.7
167528,"Pastry, Pastelitos de Guava (guava pastries)",sr_legacy_food,18,2019-04-01,379.0,5.48,18.5,47.76,2.2
167529,"Crackers, snack, Goya Crackers",sr_legacy_food,18,2019-04-01,1812.0,14.25,13.35,64.35,3.8
167530,"Crackers, cream, Gamesa Sabrosas",sr_legacy_food,18,2019-04-01,484.0,7.01,20.37,64.55,2.4
