food_id,ingredient_name,quantity_other,quantity_oz,price
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",10 biscuits,20.4,4.79
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",16 rolls,24.8,5.99
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",12 ct,2.75,16.49
167515,"George Weston Bakeries, Thomas English Muffins",6 ct,13,3.99
167516,"Waffles, buttermilk, frozen, ready-to-heat",24 ct,1.23,6.79
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",24 ct,1.23,6.79
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",24 ct,1.23,6.79
167519,"Waffle, plain, frozen, ready-to-heat, microwave",24 ct,29.6,4.49
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",9 in,6,3.69
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",9 in,6,3.69
167522,"Pie, Dutch Apple, Commercially Prepared",,37.01,7.49
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",2 ct,6,3.99
167524,"Waffles, chocolate chip, frozen, ready-to-heat",10 ct,1.23,5.79
167525,"Tostada shells, corn",30 ct,,2.49
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",,,
167527,"Bread, pound cake type, pan de torta salvadoran",30 oz (10 servings),,7.99
167528,"Pastry, Pastelitos de Guava (guava pastries)",20 ct,12,6.00
167529,"Crackers, snack, Goya Crackers",8 ct,1.42,3.99
167530,"Crackers, cream, Gamesa Sabrosas",,7.5,4.39
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",,7.5,4.39
167532,"Bread, white wheat",16.0 ounce,,6.79
167533,"Bagels, wheat",6 ct,13,1.69
167534,"Cream puff, eclair, custard or cream filled, iced",30 ct,2.2,8.49
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",,6.25,4.99
167536,"Snacks, beef jerky, chopped and formed",,2.5,5.99
