title,url,image,ingredients,steps,prep_time_min,cook_time_min,total_time_min,servings,calories_per_serving,fat_g,carbs_g,protein_g
Instant Pot® Keto Green Beans,https://www.allrecipes.com/recipe/275813/instant-pot-keto-green-beans,https://www.allrecipes.com/thmb/EPh8RVo7dePiVrB2dpWv8rxOOkQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7017929-b38d7d83214a4462aa7b19a16fe24642.jpg,"6 slices bacon, cut into 1/2 inch pieces | 1 pound green beans, trimmed | 0.5 cup water | 0.25 cup chopped pecans, toasted | freshly ground black pepper to taste","Turn on a multi-functional pressure cooker (such as Instant Pot®) and select Saute function. Add bacon to the hot pot and cook until browned, about 5 minutes. Add green beans and cook for 1 minute. Add water. Close and lock the lid. Select high pressure according to manufacturer&#39;s instructions; set timer for 4 minutes. Allow 10 minutes for pressure to build. | Release pressure carefully using the quick-release method according to manufacturer&#39;s instructions, about 5 minutes. Unlock and remove the lid. Transfer green beans to a serving dish and sprinkle with toasted pecans and pepper.",10,20,35,6,105,7,6,5
Fajitas On A Stick,https://www.allrecipes.com/recipe/241100/fajitas-on-a-stick,https://www.allrecipes.com/thmb/_6ncBc57nDeggeyfiPc-golij_w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2330600-767cc51f1bdf42e39a4185563c8cb76b.jpg,"0.25 cup extra-virgin olive oil | 0.5 lime, zested and juiced | 2 cloves garlic, minced, or more to taste | 0.5 teaspoon ground cumin | 0.25 teaspoon red pepper flakes, or more to taste | 0.25 teaspoon ground chipotle pepper | 1.5 pounds beef sirloin, cut into 1-inch cubes | 1 red bell pepper, cut into 1-inch cubes | 1 green bell pepper, cut into 1-inch cubes | 0.5 onion, cut into 1-inch cubes | skewers","Whisk olive oil, lime juice, lime zest, garlic, cumin, red pepper flakes, and chipotle pepper together in a large glass or ceramic bowl. Add sirloin and toss to evenly coat. Cover the bowl with plastic wrap and marinate in the refrigerator, 30 minutes to 2 hours. | Preheat an outdoor grill for medium-high heat and lightly oil the grate. | Remove sirloin from marinade and discard marinade. Thread sirloin, red bell pepper, green bell pepper, and onion onto skewers. | Cook on the preheated grill until sirloin is browned and vegetables are tender, about 4 minutes per side.",20,10,60,6,248,16,5,20
Coq Au Vin with Rosemary and Thyme,https://www.allrecipes.com/recipe/244173/coq-au-vin-with-rosemary-and-thyme,https://www.allrecipes.com/thmb/uwYLkQQu4HueYSQIJv1R3EGLryU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3038976-c38be36fc2ee42c9bd71981a4c236f06.jpg,"0.5 pound bacon, chopped | 6 chicken thighs, or more to taste | 2 shallots, chopped | 2 teaspoons dried thyme | 1 teaspoon dried rosemary | 1 teaspoon minced garlic, or more to taste | 2 cups dry white wine | 1 cup sliced mushrooms, or to taste | 1 cup chicken stock, or more as needed | salt and ground black pepper to taste | 1 tablespoon butter | 1 tablespoon all-purpose flour","Cook bacon in a large, deep skillet over medium-high heat, stirring occasionally, until evenly browned, about 10 minutes. Transfer to a paper towel-lined plate to drain; reserve drippings in skillet. | Add chicken thighs to the skillet; cook until browned, 2 to 3 minutes per side. Add shallots, thyme, rosemary, and garlic; cook and stir until fragrant, about 1 minute. | Sprinkle bacon over chicken mixture; add wine. Simmer until wine is slightly reduced, 1 to 2 minutes. Add mushrooms and enough chicken stock to almost cover chicken. Cover skillet; simmer for 35 minutes. Taste sauce; adjust seasoning. Simmer until chicken is no longer pink at the bone and the juices run clear, about 10 minutes more. An instant-read thermometer inserted near but not touching the bone should read at least 165 degrees F (74 degrees C). | Melt butter in a saucepan over medium heat; stir in flour and cook until a thick paste forms, about 1 minute. Whisk paste into skillet until sauce is thickened, 1 to 2 minutes.",10,65,75,4,531,28,11,35
Robert&#39;s Homemade Italian Sausage,https://www.allrecipes.com/recipe/158794/roberts-homemade-italian-sausage,https://www.allrecipes.com/thmb/VIqs5F2MAXtldc_97k-P621i_gg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/789612-f20ec044a58241e99369f3795edd07d0.jpg,"0.25 cup dry red wine, chilled | 1 tablespoon raw sugar | 0.25 teaspoon sea salt | 1 tablespoon garlic powder | 2 teaspoons black pepper | 2 teaspoons paprika | 1.5 teaspoons fennel seed | 1 teaspoon dried oregano | 0.5 teaspoon anise seed | 0.5 teaspoon dried parsley flakes | 0.5 teaspoon red pepper flakes | 0.5 teaspoon cayenne pepper | 0.25 teaspoon dried minced onion | 0.125 teaspoon coriander seed, coarsely cracked | 0.125 teaspoon ground mace | 2 pounds extra-lean ground turkey breast | 1 pound lean ground pork","Pour red wine into a large bowl. Whisk in sugar and salt until dissolved. Sprinkle in garlic powder, black pepper, paprika, fennel seed, oregano, anise seed, parsley flakes, red pepper flakes, cayenne pepper, minced onion, coriander seed, and mace; thoroughly mix in ground turkey and ground pork with your hands until seasonings and meat are evenly combined. | Line 2 or 3 baking sheets with plastic wrap. Roll meat mixture into 1/4 cup balls; flatten into 1/2-inch thick patties and place in a single layer on the prepared baking sheets. Cover baking sheets with plastic wrap; freeze until solid. Place frozen patties into a resealable plastic bag; store in the freezer.",25,,505,24,102,6,1,11
Bacon Pea Salad,https://www.allrecipes.com/recipe/234068/bacon-pea-salad,https://www.allrecipes.com/thmb/tg19X89Yf3kqlFDCGvye1NCeCnI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/234068-bacon-pea-salad-VAT-004-4x3-32a63473c2224f0c8d060e7220e877b8.jpg,"4 slices bacon | 0.75 cup mayonnaise | 1 tablespoon honey | 1 tablespoon white sugar | salt and ground black pepper to taste | 1 (20 ounce) package fresh green peas | 2 stalks celery, chopped | 0.5 cup cubed Cheddar cheese | 0.33333334326744 cup chopped onion","Gather all ingredients. | Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels and crumble. Reserve 1 tablespoon bacon grease. | Whisk mayonnaise, reserved bacon grease, honey, sugar, salt, and black pepper together in a bowl until dressing is smooth. | Mix bacon, peas, celery, Cheddar cheese, and onion together in a bowl. Drizzle dressing over salad and toss to coat. | Enjoy!",15,10,25,8,281,21,16,8
Bacon and Smoked Salmon Pinwheels,https://www.allrecipes.com/recipe/278287/bacon-and-smoked-salmon-pinwheels,https://www.allrecipes.com/thmb/_rU3f8MrFBaAbjitQanOL_LX0oM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/569399-2ee2a116de364bb2bda8fef538b8cc2e.jpg,"4 slices bacon | 2 ounces mayonnaise | 1 clove garlic, minced | 3 fresh chives, chopped, or more to taste | salt and ground black pepper to taste | 1 sheet frozen puff pastry, thawed | 6 grape tomatoes, chopped | 2 ounces smoked salmon, flaked","Preheat the oven to 450 degrees F (230 degrees C). Line a baking sheet with parchment paper. | Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Chop. | Make an aioli by combining mayonnaise, garlic, chives, salt, and pepper in a bowl. Set aside. | Roll the puff pastry out into a 12-inch square. Spread aioli onto the pastry quickly and top with bacon, tomatoes, and salmon. Roll up jelly roll-style and cut into 12 equal pieces. Lay on the prepared baking sheet and let chill for about 30 minutes. | Bake in the preheated oven until golden, about 18 minutes.",15,20,65,6,337,26,20,7
Air Fryer Chicken Nuggets,https://www.allrecipes.com/recipe/270939/air-fryer-chicken-nuggets,https://www.allrecipes.com/thmb/Rzx_vREaUfae9JhC73gO7tEfStQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/ALR-270939-air-fryer-chicken-nuggets-VAT-4x3-3sideplateshowingtexture-47364bc254254220b24dda0498b55e8c.jpg,"1 cup buttermilk | 2 pounds chicken tenderloins, cut into nugget size | 1 cup flour | 3 tablespoons grated Parmesan cheese | 1 tablespoon paprika | 1 tablespoon parsley flakes | 1 teaspoon salt | 1 teaspoon ground black pepper | 2 eggs | 2 cups panko bread crumbs | cooking spray","Gather all ingredients. | Mix buttermilk and chicken in a large bowl; set aside to soak while you prepare seasoned flour. | Combine flour, Parmesan cheese, paprika, parsley, salt, and pepper in a large bowl. Beat eggs in a separate bowl. Pour panko bread crumbs onto a flat plate. | Dredge each chicken nugget first in flour, then in beaten egg, and finally coat in bread crumbs. | Preheat the air fryer to 400 degrees F (200 degrees C). Spray the basket with cooking spray. Place as many nuggets into the basket as you can without overcrowding. Lightly mist the tops of the nuggets with cooking spray. | Cook for 10 minutes. Flip chicken nuggets and cook for an additional 2 minutes. Remove and repeat with remaining nuggets. | Enjoy!",15,15,30,8,393,8,34,44
Black Ginger Cocktail,https://www.allrecipes.com/recipe/236891/black-ginger-cocktail,https://www.allrecipes.com/thmb/LNrp-qD-EsdD098Tcqq-oburLzE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3311176-d387d9e1290a4c93accfb84d7ca20575.jpg,3 fresh blackberries | 1.5 fluid ounces spiced rum | 1 fluid ounce sweet and sour mix | ice cubes | 1 splash ginger beer,Place blackberries in a shaker; muddle. Pour rum and sweet and sour mix over muddled blackberries; fill the shaker with ice. Cover and shake until chilled. Pour into a glass and top with ginger beer.,5,,5,1,169,0,15,0
Harissa Deviled Eggs,https://www.allrecipes.com/recipe/266393/harissa-deviled-eggs,https://www.allrecipes.com/thmb/5RtilJaKTR1oEazoSPmXCT45HI8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5568049-dabc456e5fa9451da4797ace66f9bec1.jpg,"6 eggs | 0.33333334326744 cup Greek yogurt | 1 tablespoon harissa paste | 0.5 teaspoon garlic salt | 0.5 teaspoon ground cumin | 2 pinches smoked paprika, or to taste | ground black pepper to taste","Place eggs in a large saucepan. Cover with cool water by 1 inch. Cover with a lid and bring water to a boil. Cook until yolks are set, 6 to 7 minutes. Transfer eggs to an ice bath. | Cut cooled eggs in half lengthwise and carefully remove yolks to a large bowl. Mash yolks with a fork; add yogurt, harissa, garlic salt, cumin, 1 pinch paprika, and pepper. Stir until fully combined and smooth. | Place yolk mixture into a piping bag or a plastic bag with a corner snipped off. Pipe mixture into the egg whites. Sprinkle some paprika on top. Refrigerate until ready to serve.",15,15,30,6,81,6,1,6
Long-Fermentation Sourdough Bread,https://www.allrecipes.com/recipe/262280/long-fermentation-sourdough-bread,https://www.allrecipes.com/thmb/e89tqjkwKAQaYgSIb-GEFRxk4VM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6190586-1d9b89c325214319871e7fc76c02f9ed.jpg,"0.5 cup all-purpose flour, or more as needed | 1 cup water | 0.33333334326744 cup sourdough starter | 3 tablespoons butter, melted | 1 tablespoon white sugar | 0.75 teaspoon sea salt | 1 teaspoon oil, or as needed | 1 teaspoon butter, or as needed | 1 egg, beaten","Combine 2 cups flour, water, sourdough starter, 3 tablespoons butter, sugar, and salt in a bowl; mix into a stiff dough. Beat for a few minutes using a wooden spoon or an electric mixer; the dough should be quite moist and sticky. | Place dough in a large, oiled bowl and turn to coat all sides. Cover the bowl with a clean towel. Leave to ferment at room temperature 8 hours to overnight. | Turn dough out onto a liberally floured surface; knead at least 10 minutes, adding remaining 1/2 cup flour or more as needed. The dough should be very smooth and elastic when done. | Grease a loaf pan with 1 teaspoon butter. Shape dough into a loaf and place in the prepared pan. Cover with a clean towel and let rise in a warm place until doubled in volume, 4 to 12 hours depending on temperature. | Preheat the oven to 350 degrees F (175 degrees C). | Brush top of loaf with beaten egg. Cut a 1/4-inch slash, lengthwise, down center using a sharp knife. | Bake in the preheated oven until an instant-read thermometer inserted into center reads at least 180 degrees F (82 degrees C), 25 to 30 minutes. | Turn loaf out onto a wire rack; cool completely before slicing.",20,25,765,8,220,7,34,6
